Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK
CB-COM-1;1u;C-M2012;SMD-M2012;Capacitor;;;;
CF-COM-1;100n;C-M2012;SMD-M2012;Capacitor;;;;
CF-COM-2;100n;C-M2012;SMD-M2012;Capacitor;;;;
CON-COM-1;JACK_SMD_3MM5;JACK_SMD_3MM5;JACK_SMD_3MM5;Jack 3.5mm;;;;
CON-COM-2;JACK_SMD_3MM5;JACK_SMD_3MM5;JACK_SMD_3MM5;Jack 3.5mm;;;;
CON-UC-1;2X2.54mm Male;CON-2X;TH-2X2.54;Generic connector two pins;;;;
CON-UC-2;8X2.54mm Male;CON-8X;TH-8X2.54;PIN HEADER;;;;
CON-UC-3;8X2.54mm Male;CON-8X;TH-8X2.54;PIN HEADER;;;;
CP-UC-1;100u;C+-TH2.54-6.0;TH-BARREL-2M54-6M0;Polarized Capacitor;;;;
IC-COM-1;SN75176;RS485;DIL08;RS485 TRANSEIVER;;MAX481CPA+;unknown;99K3445
IC-UC-1;LONGAN-NANO;LONGAN-NANO;LONGAN-NANO;Longan Nano;;;;
LF1-COM-1;BEAD 500mA;L-M2012;SMD-M2012;Inductor;;;;
RD-COM-1;720;R-M2012;SMD-M2012;Resistor;;;;
RS-COM-2;10;R-M2012;SMD-M2012;Resistor;;;;
RS-COM-3;10;R-M2012;SMD-M2012;Resistor;;;;
RS-UC-1;4X1K;RX4-M2012-X4;SMD-M2012-X4;Four Resistor;;;;
RT-COM-1;120;R-V2.54-3.0;TH-LINE-2M54-3M0;Resistor;;;;
RU-COM-1;720;R-M2012;SMD-M2012;Resistor;;;;
